bbl,isndobbisviol,boro,bin,block,lot,issuedate,violationtypecode,violationnumber,housenumber,street,dispositiondate,dispositioncomments,devicenumber,description,ecbnumber,number,violationcategory,violationtype
1015490015,687012,1,1050027,01549,00015,2000-02-07,LL6291,04881,333,EAST   86 STREET,,,00007392,,,V020700LL629104881,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1015490016,687014,1,1050028,01549,00016,2000-02-07,LL6291,04882,335,EAST   86 STREET,,,00907866,,,V020700LL629104882,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1016140069,687206,1,1051595,01614,00069,2000-02-07,LL6291,05071,1274,5 AVENUE,2000-07-25,"VTUCIA CANCELLED, ONLY 1 BOILER ON PREMISE     AS OF 1999",00049089,,,V*020700LL629105071,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1016140069,687207,1,1051595,01614,00069,2000-02-07,LL6291,05072,1274,5 AVENUE,2000-08-23,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID CK66973138",00049089,,,V*020700LL629105072,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1016460021,687463,1,1052375,01646,00021,2000-02-07,LL6291,05313,1865,2 AVENUE,2014-05-14,"CIAKST DISMISS, $500 FULL PENALTY PAID SEE INV#61406254",00066520,,,V*020700LL629105313,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1019880117,689746,1,1059803,01988,00117,2000-02-07,LL6291,07505,512,W 136 ST,2000-10-18,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID MO06-130139876",00038633,,,V*020700LL629107505,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1020070059,689841,1,1060050,02007,00059,2000-02-07,LL6291,07599,142,WEST  139 STREET,2005-03-07,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 9/13/04 CRFN#2004000621361",00065449,,,V*020700LL629107599,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1020480016,690213,1,1060906,02048,00016,2000-02-07,LL6291,07954,574,ST NICHOLAS AVENUE,2005-03-09,TSECIA DISMISSED REDUCED PENALTY PAID $50      CK# 010639 INV# 60478638,00031438,,,V*020700LL629107954,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1020480016,681825,1,1060906,02048,00016,2000-02-08,E,9444/118142,574,ST NICHOLAS AVENUE,2013-08-01,PVT: SATISFIED BY ISSUANCE OF FINAL CERT FOR EA/EBN,,1P10083,,V*020800E9444/118142,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1020650021,690369,1,1061577,02065,00021,2000-02-07,LL6291,08107,417,WEST  150 STREET,2003-12-31,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDVAIT/DEED 1-9-03 CRFN#2003000190847",00921557,,,V*020700LL629108107,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1020720008,690404,1,1061760,02072,00008,2000-02-07,LL6291,08141,559,WEST  140 STREET,2000-10-03,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID MO06-130139875",00008528,,,V*020700LL629108141,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1020990049,690585,1,1062472,02099,00049,2000-02-07,LL6291,08314,640,WEST  153 STREET,2000-09-08,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID CK66925917",00009530,,,V*020700LL629108314,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1021220105,690703,1,1062935,02122,00105,2000-02-07,LL6291,08428,558,WEST  164 STREET,2000-05-12,JMDCIA CANCELLED BOILER INSPECTION FILED TIMELYPROOF SUBMITTED,00013224,,,V*020700LL629108428,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1021230101,690718,1,1062985,02123,00101,2000-02-07,LL6291,08443,503,WEST  167 STREET,2005-03-09,TSECIA DISMISSED REDUCED PENALTY PAID $50      CK# 010434 INV# 60478638,00031490,,,V*020700LL629108443,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1021570015,690860,1,1063766,02157,00015,2000-02-07,LL6291,08572,552,WEST 185TH ST,2005-09-16,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 7/13/04 CRFN#2004000538537",00065703,,,V*020700LL629108572,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1021660026,690892,1,1063964,02166,00026,2000-02-07,LL6291,08605,603,WEST  184 STREET,2003-09-22,"APECIA DISMISSED, FULL PENALTY PAID $500 MO#06341508848 INV# 10880242",00065970,,,V*020700LL629108605,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1021660028,690893,1,1063966,02166,00028,2000-02-07,LL6291,08606,607,WEST  184 STREET,2003-07-22,"TCOCIA CANCELLED,BOILER REMOVED/HT BY 605 W 184",00065971,,,V*020700LL629108606,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1011430042,681782,1,1079313,01143,00042,2000-03-01,LL10/80,HZ613,124,WEST   72 STREET,2004-06-22,CAW    AMENDED ROUND 5 REPORT WAS SUBMITTED ANDAPPROVED,,,,V*030100LL10/80HZ613,V*-DOB VIOLATION - DISMISSED,LL10/80-LOCAL LAW 10/80 - FACADE                                        FACADE  OPTIONAL
1011430044,720122,1,1079315,01143,00044,2000-06-30,LANDMK,00-0766,128,WEST   72 STREET,2024-04-04,,,,,V*063000LANDMK00-0766,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE
1000070026,722189,1,1087449,00007,00026,2000-04-12,C,ZSTF01MAD,62,PEARL STREET,2006-07-11,,,,,V*041200CZSTF01MAD,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL
2024610045,691667,2,2002814,02461,00045,2000-02-07,LL6291,09370,940,GRAND CONCOURSE,2014-12-04,RASCIA DISMISSED FULL PENALTY PAID $500        INV#61478498,00926764,,,V*020700LL629109370,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2024610058,691668,2,2002815,02461,00058,2000-02-07,LL6291,09371,960,GRAND CONCOURSE,2000-09-11,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID CK66815490",00007812,,,V*020700LL629109371,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2024610090,691671,2,2002822,02461,00090,2000-02-07,LL6291,09374,1000,GRAND CONCOURSE,,,00016137,,,V020700LL629109374,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2024610090,725865,2,2002822,02461,00090,2000-05-15,E,9444/221322,1000,GRAND CONCOURSE,2007-06-29,PPN203 AOC SUBMITTED ON 06/27/2007 BY CHARLESTAN TECHNOLOGIES. CERT#500-001,,2P1637,,V*051500E9444/221322,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024610090,725866,2,2002822,02461,00090,2000-05-15,E,9444/221323,1000,GRAND CONCOURSE,2008-03-06,PPN203 AOC SUBMITTED ON 022208 BY CHARLESTAN TECHNOLOGIES INC. CERT#500001......,,2P1638,,V*051500E9444/221323,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024640023,691673,2,2002849,02464,00023,2000-02-07,LL6291,09376,1235,GRAND CONCOURSE,2011-06-14,RASCIA DISMISSED FULL PENALTY PAID $500        INV#61004211 CK#100890573,00002984,,,V*020700LL629109376,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2024640023,725849,2,2002849,02464,00023,2000-05-03,E,9444/221116,1235,GRAND CONCOURSE,2011-02-25,JMA    COPY OF VIOLATION NOT AVAILABLE; 5 YEAR TEST COMPLETED ON 7-13-07,,2P1213,,V*050300E9444/221116,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024640023,725850,2,2002849,02464,00023,2000-05-03,E,9444/221117,1235,GRAND CONCOURSE,2011-02-25,JMA    COPY OF VIOLATION NOT AVAILABLE; 5 YEAR TEST COMPLETED ON 7-13-07,,2P1212,,V*050300E9444/221117,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2024710021,724647,2,2002873,02471,00021,2000-05-03,ES,0402H,150,EAST  165 STREET,2014-03-06,PPN291 OKAY TO DISMISS VIOLATION               (330),,,,V*050300ES0402H,V*-DOB VIOLATION - DISMISSED,ES-ELECTRIC SIGNS                                                  NONE
2024710021,724648,2,2002873,02471,00021,2000-05-03,ES,043H,150,EAST  165 STREET,2014-03-06,PPN291 OKAY TO DISMISS VIOLATION               (330),,,,V*050300ES043H,V*-DOB VIOLATION - DISMISSED,ES-ELECTRIC SIGNS                                                  NONE
2024960046,691748,2,2003025,02496,00046,2000-02-07,LL6291,09445,1184,CROMWELL AVENUE,,,00924417,,,V020700LL629109445,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2028080012,726571,2,2007683,02808,00012,2000-05-12,E,9444/222292,1939,GRAND CONCOURSE,2000-10-24,AS PER INSPECTOR ROUTE SHEET,,2P1902,,V*051200E9444/222292,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028080012,726572,2,2007683,02808,00012,2000-05-12,E,9444/222293,1939,GRAND CONCOURSE,2000-10-24,AS PER INSPECTOR ROUTE SHEET,,2P1903,,V*051200E9444/222293,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
2028270046,720503,2,2007907,02827,00046,2000-03-29,LL10/80,HZ760,1895,MORRIS AVENUE,2001-04-05,CAW,,,,V*032900LL10/80HZ760,V*-DOB VIOLATION - DISMISSED,LL10/80-LOCAL LAW 10/80 - FACADE                                        FACADE  OPTIONAL
2028650032,692602,2,2008422,02865,00032,2000-02-07,LL6291,10269,1566,MACOMBS ROAD,,,00002793,,,V020700LL629110269,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2031020043,693191,2,2012842,03102,00043,2000-02-07,LL6291,10834,2343,PROSPECT AVENUE,,,00013742,,,V020700LL629110834,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2031620034,693387,2,2013760,03162,00034,2000-02-07,LL6291,11019,2185,GRAND CONCOURSE,,,00010004,,,V020700LL629111019,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2031620034,693386,2,2013760,03162,00034,2000-02-07,LL6291,11018,2183,GRAND CONCOURSE,2005-08-02,"TCOCIA CANCELLED,SEE BOILER AT 2185 GRAND      CONCOURSE",00926867,,,V*020700LL629111018,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2032250094,693528,2,2014941,03225,00094,2000-02-07,LL6291,11155,2300,LORING PLACE,2000-08-30,"TCOCIA DISMISSED,$150.00 REDUCED PENALTY PAID  MO#66925929",00927665,,,V*020700LL629111155,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2032250098,693529,2,2014942,03225,00098,2000-02-07,LL6291,11156,2310,LORING PLACE,,,00927666,,,V020700LL629111156,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2032250101,693530,2,2014943,03225,00101,2000-02-07,LL6291,11157,2316,LORING PLACE,,,00927669,,,V020700LL629111157,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2032530023,693580,2,2015504,03253,00023,2000-02-07,LL6291,11204,2704,KINGSBRIDGE TERRACE,,,00013127,,,V020700LL629111204,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2032660090,693601,2,2016127,03266,00090,2000-02-07,LL6291,11227,3044,ALBANY CRESCENT,2009-06-01,RRECIA DISMISSED REDUCED PENALTY PAID $50      INV#60762807  CK#7477,00030802,,,V*020700LL629111227,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2033150089,693732,2,2017465,03315,00089,2000-02-07,LL6291,11353,2805,GRAND CONCOURSE,2007-03-14,CIAVHA CANCELLED NEW OWNERSHIP DEED SUBMITTED  PUR 02/01/07 CRFN 2007000092696,00011066,,,V*020700LL629111353,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2033150089,718655,2,2017465,03315,00089,2000-03-10,LL1081,01892,2805,GRAND CONCOURSE,,,E9801892,,,V031000LL108101892,V-DOB VIOLATION - ACTIVE,LL1081-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL
2033260129,693768,2,2017756,03326,00129,2000-02-07,LL6291,11386,14,EAST 208TH ST,2012-05-21,RRECIA DISMISSED-FULL PENALTY PAID $500        INV# 61120012  CK# 0711002603,00012124,,,V*020700LL629111386,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2033290040,693781,2,2017838,03329,00040,2000-02-07,LL6291,11397,3569,DEKALB AVENUE,2008-01-30,"RRECIA CANCELLED-DEED SUBMITTED,NEW OWNER AS OF 01/25/08 CRFN#2008000159813",00011779,,,V*020700LL629111397,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2039470001,718863,2,2041215,03947,00001,2000-03-10,LL1081,02102,2141,STARLING AVE,2005-04-08,LL1081 PAID FULL PENALTY,E9802102,,,V*031000LL108102102,V*-DOB VIOLATION - DISMISSED,LL1081-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL
2039470001,681144,2,2041215,03947,00001,2000-02-24,LL10/80,HZ535,2131,STARLING AVENUE,2011-06-09,JFG    AMENDED REPORT FILED.,,,,V*022400LL10/80HZ535,V*-DOB VIOLATION - DISMISSED,LL10/80-LOCAL LAW 10/80 - FACADE                                        FACADE  OPTIONAL
2043170040,694388,2,2049375,04317,00040,2000-02-07,LL6291,11979,2185,BOLTON STREET,2000-08-29,"TCOCIA DISMISSED,$50.00 REDUCED PENALTY PAID CK66925927",00011978,,,V*020700LL629111979,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
2043170040,517767,2,2049375,04317,00040,2000-11-03,E,9011/230579,2185,BOLTON STREET,2007-07-02,PPN203 AOC SUBMITTED ON 7/2/07 BY CHARLESTAN   ELEV. CERT. #500-001,,2P1656,,V*110300E9011/230579,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3011010041,697084,3,3026544,01101,00041,2000-02-07,LL6291,14600,181,PROSPECT PARK WEST,2002-11-20,"TCOCIA CANCELLED,ONLY ONE BOILER ON PREMISE",00064836,,,V*020700LL629114600,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3011010044,685207,3,3026547,01101,00044,2000-05-08,LANDMK,00-0643,185,PROSPECT PARK WEST,2020-12-22,,,,,V*050800LANDMK00-0643,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE
3011360040,697164,3,3027816,01136,00040,2000-02-07,LL6291,14681,552,DEAN STREET,2005-08-03,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 3/2/04 CRFN#2004000327853",00935193,,,V*020700LL629114681,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3016460056,699148,3,3045225,01646,00056,2000-02-07,LL6291,16589,763,PUTNAM AVENUE,2004-11-30,TSECIA DISMISSED REDUCED PENALTY PAID $50      MO# 07307012237 INV# 60461354,00153213,,,V*020700LL629116589,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3017000062,699356,3,3047981,01700,00062,2000-02-07,LL6291,16795,575,HERKIMER STREET,2000-07-12,JMDCIA CANCELLED BOILER INSPECTION FILED TIMELYPROOF SUBMITTED,00937883,,,V*020700LL629116795,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3017000062,721599,3,3047981,01700,00062,2000-03-27,E,9444/319715,575,HERKIMER STREET,2000-06-12,AS PER INSPECTOR ROUTE SHEET,,3P6276,,V*032700E9444/319715,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3018670021,699952,3,3053953,01867,00021,2000-02-07,LL6291,17360,132,HERKIMER STREET,2005-02-01,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 2/28/01 REEL5097PG0354",00039298,,,V*020700LL629117360,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3018670025,699953,3,3053955,01867,00025,2000-02-07,LL6291,17361,140,HERKIMER STREET,2001-01-17,"TCOCIA CANCELLED,BOILER LOCATED AT 136 HERKIMERST OP-49 SUBMITTED",00937868,,,V*020700LL629117361,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3019480053,739026,3,3055600,01948,00053,2000-10-03,C,C03AS01,69,CLIFTON PLACE,,DELETED BY MND ON 12/14/2011 BECAUSE DUPLICATE VIOLATION,,HAZARDOUS,34265704N,V100300CC03AS01,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL
3019480053,739025,3,3055600,01948,00053,2000-10-03,C,C03AS02,69,CLIFTON PLACE,,DELETED BY MND ON 12/14/2011 BECAUSE DUPLICATE VIOLATION,,HAZARDOUS,34265705P,V100300CC03AS02,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL
3021370008,700551,3,3059585,02137,00008,2000-02-07,LL6291,17931,100,SOUTH    8 STREET,2009-03-04,"RRECIA CANCELLED-DEED SUBMITTED,NEW OWNER AS OF 03/07/05   CRFN#2005000170197",00942701,,,V*020700LL629117931,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3024250008,700937,3,3063208,02425,00008,2000-02-07,LL6291,18313,378,HOOPER STREET,2005-10-19,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 1/10/03 CRFN#2003000115404",00938025,,,V*020700LL629118313,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3034060057,702682,3,3078694,03406,00057,2000-02-07,LL6291,19979,1229,HALSEY STREET,,,00058291,,,V020700LL629119979,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3050430071,741147,3,3115582,05043,00071,2000-10-26,E,9011/330549,165,HAWTHORNE STREET,2013-07-31,PVT: SATISFIED BY SUBMISSION OF AOC FOR CAT 1 INSP,,3P4845,,V*102600E9011/330549,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050840097,544091,3,3116662,05084,00097,2000-11-03,E,9011/330672,93,LINDEN BOULEVAR,2009-10-30,PPN203 AOC SUB ON 101609 BY IMPERIAL ELEV INSP G.NITA CERT#471001,,3P1785,,V*110300E9011/330672,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050840097,543557,3,3116662,05084,00097,2000-11-03,E,9011/330670,93,LINDEN BOULEVAR,2010-08-05,CIAAFA 5 YEAR TEST PERFORMED ON 08/07/2009,,,,V*110300E9011/330670,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050840097,543672,3,3116662,05084,00097,2000-11-03,E,9011/330671,93,LINDEN BOULEVAR,2010-08-05,CIAAFA 5 YEAR TEST PERFORMED ON 08/07/2009,,,,V*110300E9011/330671,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050860027,681487,3,3116708,05086,00027,2000-02-11,E,9013/318222,38,LINDEN BOULEVARD,2009-10-30,PPN203 AOC SUB ON 101609 BY IMPRIAL ELEV INSP G.NITA CERT#471001,,3P2834,,V*021100E9013/318222,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050860037,681490,3,3116712,05086,00037,2000-02-11,E,9013/318223,58,LINDEN BOULEVARD,2003-07-31,PPN203 AOC SUBMITTED ON 7-28-03 BY IMPERIAL    ELEV.CERT#471-001,,3P1147,,V*021100E9013/318223,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3050900023,723320,3,3116896,05090,00023,2000-04-11,E,9013/321337,130,MARTENSE STREET,2005-12-19,PPN203 AOC SUBMITTED ON 121905 BY DYNAMIC      ELEV CERT#L401-003,,3P3181,,V*041100E9013/321337,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210018,697618,3,3324476,01221,00018,2000-02-07,LL6291,15122,777,ST MARKS AVENUE,2012-07-06,RRECIA DISMISSED-FULL PENALTY PAID $500        INV# 61134547  CK# 7001226175,00943222,,,V*020700LL629115122,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3012210018,677556,3,3324476,01221,00018,2000-01-06,E,9011/316130,777,ST MARKS AVENUE,2010-08-22,JMA    COPIES OF VIOLATION NOT AVAILABLE; 5 YEAR TEST PERFORMED ON 10-3-06,,3P3395,,V*010600E9011/316130,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,697621,3,3341622,01221,00053,2000-02-07,LL6291,15125,805,ST MARKS AVENUE,2005-11-25,"TCOCIA CANCELLED,RECD NEW OWNER AFFIDAVIT/DEED 6/30/05 CRFN#2005000407843",00005144,,,V*020700LL629115125,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
3012210053,677563,3,3341622,01221,00053,2000-01-07,E,9011/316137,805,ST MARKS AVENUE,2004-07-06,CIACGR DISM BASED ON CURRENT                   2 YR TEST,,3P953,,V*010700E9011/316137,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,677564,3,3341622,01221,00053,2000-01-07,E,9011/316138,805,ST MARKS AVENUE,2004-07-06,CIACGR DISM BASED ON CURRENT                   2 YR TEST,,3P954,,V*010700E9011/316138,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
3012210053,677565,3,3341622,01221,00053,2000-01-07,E,9011/316139,805,ST MARKS AVENUE,2004-07-06,CIACGR DISM BASED ON CURRENT                   2 YR TEST,,3P956,,V*010700E9011/316139,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012680001,709263,4,4029194,01268,00001,2000-02-07,LL6291,26365,81-06,34 AVENUE,2007-04-20,CIACEY DISMISS F/P $500 MO#68867133            INV#60610859,00011038,,,V*020700LL629126365,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
4012810065,722584,4,4029695,01281,00065,2000-04-07,E,9011/421003,35-21,81 STREET,2000-07-31,AS PER INSPECTOR ROUTE SHEET,,4P314,,V*040700E9011/421003,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012810065,722587,4,4029695,01281,00065,2000-04-07,E,9011/421004,35-21,81 STREET,2000-07-31,AS PER INSPECTOR ROUTE SHEET,,4P315,,V*040700E9011/421004,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
4012910064,719901,4,4030008,01291,00064,2000-03-10,LL1081,03112,37-21,80TH ST,2007-03-30,LL1081 FILEDON TIME,E9803112,,,V*031000LL108103112,V*-DOB VIOLATION - DISMISSED,LL1081-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL
4014590040,709470,4,4035838,01459,00040,2000-02-07,LL6291,26563,35-65,85 STREET,2007-04-20,CIACEY DISMISS F/P $500 MO#68867137            INV#60610857,00041173,,,V*020700LL629126563,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
4015270001,681793,4,4038182,01527,00001,2000-03-01,LL10/80,HZ624,81-11,45 AVENUE,2002-05-29,CAW,,,,V*030100LL10/80HZ624,V*-DOB VIOLATION - DISMISSED,LL10/80-LOCAL LAW 10/80 - FACADE                                        FACADE  OPTIONAL
1002740014,749822,1,1003269,00274,00014,2001-02-27,LL6291,00364,75,MONROE STREET,2001-08-30,MBUCIA $50.00 REDUCED PENALTY PAYMENT          MO#925104614 INV#60303971,00043822,,,V*022701LL629100364,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1002740014,749823,1,1003269,00274,00014,2001-02-27,LL6291,00365,56,PIKE ST,2001-08-30,MBUCIA $50.00 REDUCED PENALTY PAYMENT          MO#925104614 INV#60303971,00043882,,,V*022701LL629100365,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1003500035,749998,1,1004255,00350,00035,2001-02-27,LL6291,00538,158,STANTON STREET,2021-02-23,CIANOW CRM Violation Dismissed,00913006,,,V*022701LL629100538,V*-DOB VIOLATION - DISMISSED,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED
1007730027,749319,1,1014148,00773,00027,2001-02-05,E,9011/132244,221,WEST 23 STREET,2002-07-12,AS PER INSPECTOR ROUTE SHEET,,1P17913,,V*020501E9011/132244,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1007730027,749317,1,1014148,00773,00027,2001-02-05,E,9011/132243,221,WEST 23 STREET,2002-07-23,AS PER INSPECTOR ROUTE SHEET,,1P17912,,V*020501E9011/132243,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1007730027,749321,1,1014148,00773,00027,2001-02-05,E,9011/132245,221,WEST 23 STREET,2002-07-23,AS PER INSPECTOR ROUTE SHEET,,1P17914,,V*020501E9011/132245,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
