complaintnumber,status,dateentered,housenumber,zipcode,housestreet,bin,communityboard,specialdistrict,complaintcategory,unit,dispositiondate,dispositioncode,inspectiondate,dobrundate
2093505,CLOSED,2007-01-05,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2007-01-24,I2,2007-01-17,2024-05-29
3104716,CLOSED,2002-09-30,777,11213,ST MARKS AVENUE,3324476,308,,63,ELEVR,2002-12-17,A1,2002-12-10,2024-05-29
2108835,CLOSED,2008-01-10,1120,10460,WYATT STREET,2028350,206,,4A,BRONX,2009-02-10,C2,2009-02-09,2024-05-29
1180798,CLOSED,2006-11-28,265,10012,LAFAYETTE STREET,1007524,102,,53,MAN.,2006-12-05,I2,2006-12-05,2024-05-29
2093604,CLOSED,2007-01-09,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2007-01-24,I2,2007-01-17,2024-05-29
2071764,CLOSED,2005-06-23,1939,10453,GRAND CONCOURSE,2007683,205,,23,BRONX,2005-07-14,I2,2005-07-12,2024-05-29
2071824,CLOSED,2005-06-25,2720,10458,GRAND CONCOURSE,2017135,207,,23,BRONX,2005-07-21,A9,2005-07-19,2024-05-29
2071829,CLOSED,2005-06-26,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-08,H1,2005-07-01,2024-05-29
2071890,CLOSED,2005-06-27,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-08,H1,2005-07-01,2024-05-29
2071914,CLOSED,2005-06-28,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2005-07-18,H1,2005-07-08,2024-05-29
2052528,CLOSED,2003-06-24,1939,10453,GRAND CONCOURSE,2007683,205,,74,BRONX,2003-07-01,I1,2003-06-24,2024-05-29
1200125,CLOSED,2007-07-31,255,10012,LAFAYETTE STREET,1007524,102,,73,MAN.,2007-08-29,I2,2007-08-23,2024-05-29
1213559,CLOSED,2008-01-15,45,10014,GROVE STREET,1083532,102,,20,MAN.,2008-01-15,I2,2008-01-15,2024-05-29
2109050,CLOSED,2008-01-15,1235,10452,GRAND CONCOURSE,2002849,204,,45,BRONX,2008-01-28,I2,2008-01-22,2024-05-29
2052836,CLOSED,2003-07-07,2314,10467,HOLLAND AVENUE,2050059,211,,80,ELEVR,2003-10-02,A1,2003-09-24,2024-05-29
2091253,CLOSED,2006-11-03,2720,10458,GRAND CONCOURSE,2017135,207,,63,ELEVR,2006-12-11,H1,2006-12-01,2024-05-29
2109183,CLOSED,2008-01-18,1227,10472,WHITE PLAINS ROAD,2024877,209,,05,BRONX,2008-01-18,A1,2007-12-18,2024-05-29
2072169,CLOSED,2005-06-30,1939,10453,GRAND CONCOURSE,2007683,205,,71,BRONX,2005-07-15,I2,2005-07-12,2024-05-29
2046666,CLOSED,2002-07-05,1505,10452,GRAND CONCOURSE,2008010,204,,59,ELCTR,2003-04-16,A1,2003-04-07,2024-05-29
4291472,CLOSED,2007-01-16,119-37,11415,METROPOLITAN AVENUE,4192752,409,,63,ELEVR,2007-01-29,I2,2007-01-23,2024-05-29
2109223,CLOSED,2008-01-20,1505,10452,GRAND CONCOURSE,2008010,204,,63,ELEVR,2008-02-15,H1,2008-02-12,2024-05-29
2101466,CLOSED,2007-07-11,1000,10451,GRAND CONCOURSE,2002822,204,,67,C & D,2007-07-20,I2,2007-07-14,2024-05-29
1185679,CLOSED,2007-02-08,590,10030,ST NICHOLAS AVENUE,1060908,110,,58,BOILR,2007-06-01,C2,2007-05-29,2024-05-29
2052517,CLOSED,2003-06-24,2065,10453,GRAND CONCOURSE,2013743,205,,74,BRONX,2003-07-07,H1,2003-07-07,2024-05-29
2072466,CLOSED,2005-07-08,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-18,H1,2005-07-08,2024-05-29
2072492,CLOSED,2005-07-09,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2072499,CLOSED,2005-07-09,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2096202,CLOSED,2007-03-14,960,10451,GRAND CONCOURSE,2002815,204,,31,BRONX,2007-03-14,A1,2007-03-07,2024-05-29
2072525,CLOSED,2005-07-11,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2091636,CLOSED,2006-11-15,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2006-12-28,I2,2006-12-27,2024-05-29
1197144,CLOSED,2007-06-25,265,10012,LAFAYETTE STREET,1007524,102,,05,MAN.,2007-07-24,I2,2007-07-19,2024-05-29
2072551,CLOSED,2005-07-11,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
1159143,CLOSED,2006-01-31,265,10012,LAFAYETTE STREET,1007524,102,,59,ELCTR,2006-02-03,I2,2006-02-02,2024-05-29
2092850,CLOSED,2006-12-14,346,10460,DEVOE AVENUE,2028349,206,,31,BRONX,2007-01-03,I2,2007-01-02,2024-05-29
2052967,CLOSED,2003-07-10,1235,10452,GRAND CONCOURSE,2002849,204,,74,BRONX,2003-08-01,I2,2003-07-10,2024-05-29
3115523,CLOSED,2003-07-11,777,11213,ST MARKS AVENUE,3324476,308,,63,ELEVR,2003-08-22,A1,2003-08-20,2024-05-29
1180568,CLOSED,2006-11-24,265,10012,LAFAYETTE STREET,1007524,102,,53,MAN.,2006-12-07,H1,2006-12-01,2024-05-29
2101273,CLOSED,2007-07-07,1939,10453,GRAND CONCOURSE,2007683,205,,63,ELEVR,2007-08-01,A1,2007-07-23,2024-05-29
2053015,CLOSED,2003-07-11,940,10451,GRAND CONCOURSE,2002814,204,,74,BRONX,2003-08-01,I2,2003-07-11,2024-05-29
2053017,CLOSED,2003-07-11,1000,10451,GRAND CONCOURSE,2002822,204,,74,BRONX,2003-08-01,I2,2003-07-11,2024-05-29
2053030,CLOSED,2003-07-11,2070,10457,GRAND CONCOURSE,2013631,205,,74,BRONX,2003-08-08,H1,2003-08-08,2024-05-29
2071763,CLOSED,2005-06-23,1939,10453,GRAND CONCOURSE,2007683,205,,05,BRONX,2005-07-15,H1,2005-07-12,2024-05-29
2072763,CLOSED,2005-07-15,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
4324144,CLOSED,2007-09-26,83-52,11415,TALBOT STREET,4080137,409,,05,QNS.,2007-09-26,V3,2007-09-23,2024-05-29
2080269,CLOSED,2006-01-31,3525,10467,DECATUR AVENUE,2018647,207,,63,ELEVR,2006-02-10,H1,2006-02-03,2024-05-29
2053106,CLOSED,2003-07-14,2070,10457,GRAND CONCOURSE,2013631,205,,74,BRONX,2003-08-29,A7,2003-07-24,2024-05-29
2088181,CLOSED,2006-08-22,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2006-10-24,H1,2006-10-17,2024-05-29
2072805,CLOSED,2005-07-16,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2072810,CLOSED,2005-07-17,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,I1,2005-07-25,2024-05-29
2072833,CLOSED,2005-07-18,940,10451,GRAND COURSE,2002814,204,,63,ELEVR,2005-08-01,I2,2005-07-26,2024-05-29
2072837,CLOSED,2005-07-18,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2072952,CLOSED,2005-07-19,2701,10458,VALENTINE AVENUE,2017136,207,,63,ELEVR,2005-08-09,A1,2005-08-02,2024-05-29
2081394,CLOSED,2006-03-08,960,10451,GRAND CONCOURSE,2002815,204,,63,ELEVR,2006-04-07,H1,2006-04-03,2024-05-29
2102864,CLOSED,2007-08-09,1961,10462,WALLACE AVENUE,2047957,211,,15,BRONX,2007-09-17,I2,2007-09-13,2024-05-29
2073071,CLOSED,2005-07-21,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
1146899,CLOSED,2005-07-24,142,10030,WEST  139 STREET,1060050,110,,63,ELEVR,2005-08-29,I2,2005-08-22,2024-05-29
1180967,CLOSED,2006-11-30,45,10014,GROVE STREET,1083532,102,,20,MAN.,2006-12-07,C2,2006-12-06,2024-05-29
1146528,CLOSED,2005-07-19,1865,10029,2 AVENUE,1052375,111,,05,MAN.,2005-07-25,I2,2005-07-22,2024-05-29
2072520,CLOSED,2005-07-10,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-07-25,H1,2005-07-25,2024-05-29
2073199,CLOSED,2005-07-25,3620,10463,OXFORD AVENUE,2124437,208,,73,BRONX,2005-07-26,I2,2005-07-25,2024-05-29
2073200,CLOSED,2005-07-25,3620,10463,OXFORD AVENUE,2124437,208,,73,BRONX,2005-07-26,I2,2005-07-25,2024-05-29
2091358,CLOSED,2006-11-08,1505,10452,GRAND CONCOURSE,2008010,204,,10,BRONX,2006-11-21,I2,2006-11-19,2024-05-29
2090883,CLOSED,2006-10-25,3525,10467,DECATUR AVENUE,2018647,207,,63,ELEVR,2006-11-27,I2,2006-11-15,2024-05-29
3209762,CLOSED,2006-11-30,224,11211,SOUTH    3 STREET,3063299,301,,05,BKLYN,2007-01-30,C2,2007-01-25,2024-05-29
3164147,CLOSED,2005-07-25,696,11207,MILLER AVENUE,3096699,305,,10,BKLYN,2005-07-26,A9,2005-07-26,2024-05-29
3229999,CLOSED,2007-06-26,415,11238,WASHINGTON AVENUE,3056061,302,,03,BKLYN,2007-06-27,I2,2007-06-27,2024-05-29
2073228,CLOSED,2005-07-25,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-08-09,I2,2005-08-04,2024-05-29
2090344,CLOSED,2006-10-13,2141,10462,STARLING AVENUE,2041215,209,,18,ERT,2006-10-16,I2,2006-10-13,2024-05-29
3164369,CLOSED,2005-07-27,95,11226,LINDEN BOULEVARD,3116662,317,,63,ELEVR,2005-08-22,I2,2005-08-18,2024-05-29
2090351,CLOSED,2006-10-14,2070,10457,GRAND CONCOURSE,2013631,205,,63,ELEVR,2006-10-31,A1,2006-10-25,2024-05-29
3326135,CLOSED,2009-12-03,67,11238,CLIFTON PLACE,3055601,302,,4B,SEP,2009-12-16,I2,2009-12-11,2024-05-29
3294892,CLOSED,2009-02-11,67,11238,CLIFTON PLACE,3055601,302,,23,BKLYN,2009-02-23,I2,2009-02-18,2024-05-29
2102212,CLOSED,2007-07-27,1227,10472,WHITE PLAINS ROAD,2024877,209,,59,ELCTR,2007-09-27,C2,2007-09-04,2024-05-29
2124878,CLOSED,2009-01-12,960,10451,GRAND CONCOURSE,2002815,204,,63,ELEVR,2009-02-06,A1,2009-02-03,2024-05-29
2073451,CLOSED,2005-07-29,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-08-10,H1,2005-08-04,2024-05-29
2090194,CLOSED,2006-10-11,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2006-10-24,I2,2006-10-17,2024-05-29
2073469,CLOSED,2005-07-30,960,10451,GRAND CONCOURSE,2002815,204,,37,ERT,2005-08-11,I2,2005-08-10,2024-05-29
2093406,CLOSED,2007-01-03,3525,10467,DECATUR AVENUE,2018647,207,,63,ELEVR,2007-01-12,I2,2007-01-09,2024-05-29
2073497,CLOSED,2005-08-01,1000,10451,GRAND CONCOURSE,2002822,204,,73,BRONX,2005-09-30,I2,2005-09-28,2024-05-29
2124890,CLOSED,2009-01-13,1939,10453,GRAND CONCOURSE,2007683,205,,45,BRONX,2009-01-21,A8,2009-01-16,2024-05-29
3231654,CLOSED,2007-07-12,224,11211,SOUTH    3 STREET,3063299,301,,05,BKLYN,2007-10-09,I2,2007-10-04,2024-05-29
3231656,CLOSED,2007-07-12,224,11211,SOUTH    3 STREET,3063299,301,,94,BKLYN,2007-07-16,I2,2007-07-14,2024-05-29
2090197,CLOSED,2006-10-11,2141,10462,STARLING AVENUE,2041215,209,,10,BRONX,2006-10-23,C2,2006-10-20,2024-05-29
3115555,CLOSED,2003-07-11,95,11226,LINDEN BOULEVARD,3116662,317,,63,ELEVR,2003-09-04,A1,2003-08-28,2024-05-29
1246792,CLOSED,2009-01-19,574,10030,SAINT NICHOLAS AVENUE,1060906,110,,58,BOILR,2009-02-05,A8,2009-02-03,2024-05-29
2089044,CLOSED,2006-09-14,1221,10472,WHITEPLAINS ROAD,2024878,209,,63,ELEVR,2006-10-24,H1,2006-10-02,2024-05-29
2102017,CLOSED,2007-07-24,1779,10460,SOUTHERN BOULEVARD,2115902,203,,85,BRONX,2007-07-31,I2,2007-07-31,2024-05-29
2073751,CLOSED,2005-08-04,2720,10458,GRAND CONCOURSE,2017135,207,,23,BRONX,2005-08-30,H1,2005-08-29,2024-05-29
3119078,CLOSED,2003-09-16,696,11207,MILLER AVENUE,3096699,305,,10,ERT,2003-09-19,A1,2003-09-18,2024-05-29
1199691,CLOSED,2007-07-25,265,10012,LAFAYETTE STREET,1007524,102,,86,MAN.,2007-07-25,I2,2007-07-25,2024-05-29
1197323,CLOSED,2007-06-26,265,10012,LAFAYETTE STREET,1007524,102,,58,BOILR,2007-07-09,I2,2007-06-30,2024-05-29
2073841,CLOSED,2005-08-05,940,10451,GRANDCONCOURSE,2002814,204,,80,ELEVR,2005-09-26,I2,2005-09-20,2024-05-29
2073857,CLOSED,2005-08-06,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2005-09-14,H1,2005-09-02,2024-05-29
2073883,CLOSED,2005-08-07,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2005-09-14,H1,2005-09-02,2024-05-29
1160045,CLOSED,2006-02-15,336,10025,WEST   95 STREET,1034185,107,,63,ELEVR,2006-03-10,A1,2006-03-08,2024-05-29
2094823,CLOSED,2007-02-12,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2007-02-23,I2,2007-02-21,2024-05-29
2124977,CLOSED,2009-01-14,1110,10460,WYATT STREET,2028349,206,,10,BRONX,2009-01-14,A8,2009-01-14,2024-05-29
1147497,CLOSED,2005-08-02,1865,10029,SECOND AVENUE,1052375,111,,53,MAN.,2005-08-09,A9,2005-08-05,2024-05-29
1197340,CLOSED,2007-06-27,574,10030,ST NICHOLAS AVENUE,1060906,110,,63,ELEVR,2007-07-18,H1,2007-07-18,2024-05-29
1148008,CLOSED,2005-08-09,105,10030,EDGECOMBE AVENUE,1060908,110,,05,MAN.,2005-08-22,I2,2005-08-19,2024-05-29
1148012,CLOSED,2005-08-09,105,10030,EDGECOMBE AVENUE,1060908,110,,30,MAN.,2005-08-10,A3,2005-08-10,2024-05-29
1197344,CLOSED,2007-06-27,574,10030,ST NICHOLAS AVENUE,1060906,110,,63,ELEVR,2007-07-18,A1,2007-07-18,2024-05-29
3119577,CLOSED,2003-09-24,175,11225,HAWTHORNE STREET,3115582,309,,63,ELEVR,2004-02-03,A1,2004-01-28,2024-05-29
2101645,CLOSED,2007-07-16,3560,10467,ROCHAMBEAU AVENUE,2017807,207,,30,BRONX,2007-07-17,A9,2007-07-16,2024-05-29
3292312,CLOSED,2009-01-14,58,11226,LINDEN BOULEVARD,3116712,314,,63,ELEVR,2009-02-05,H1,2009-01-30,2024-05-29
2093411,CLOSED,2007-01-03,225,10463,WEST  232 STREET,2083557,208,,63,ELEVR,2007-01-26,I2,2007-01-19,2024-05-29
2074102,CLOSED,2005-08-11,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2005-09-14,H1,2005-09-02,2024-05-29
2074115,CLOSED,2005-08-11,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-08-22,H1,2005-08-16,2024-05-29
2074186,CLOSED,2005-08-12,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-08-22,H1,2005-08-16,2024-05-29
1189635,CLOSED,2007-03-26,328,10014,BLEECKER STREET,1010043,102,,49,SPOPS,2007-11-14,B1,2007-03-21,2024-05-29
2101514,CLOSED,2007-07-12,1939,10453,GRAND CONCOURSE,2007683,205,,05,BRONX,2020-07-10,A3,2020-07-09,2024-05-29
2054890,CLOSED,2003-10-02,2198,10453,UNIVERSITY AVENUE,2014584,205,,31,BRONX,2003-10-14,I2,2003-10-03,2024-05-29
2054892,CLOSED,2003-10-02,2198,10453,UNIVERSITY AVENUE,2014584,205,,09,BRONX,2003-10-14,I2,2003-10-03,2024-05-29
2054893,CLOSED,2003-10-02,2198,10453,UNIVERSITY AVENUE,2014584,205,,74,BRONX,2003-10-14,C2,2003-10-03,2024-05-29
1184327,CLOSED,2007-01-22,336,10025,WEST   95 STREET,1034185,107,,05,MAN.,2007-02-07,C2,2007-02-05,2024-05-29
2074268,CLOSED,2005-08-13,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,2005-09-14,I2,2005-09-02,2024-05-29
1113097,CLOSED,2003-10-03,92,10014,CHRISTOPHER STREET,1010043,102,,37,MAN.,2006-02-02,L2,2003-10-08,2024-05-29
3294956,CLOSED,2009-02-11,95,11226,LINDEN BOULEVARD,3116662,317,,63,ELEVR,2009-02-23,I2,2009-02-19,2024-05-29
2125057,CLOSED,2009-01-15,350,10460,DEVOE AVENUE,2028349,206,,73,BRONX,2009-03-24,F3,2009-03-23,2024-05-29
1113176,CLOSED,2003-10-05,235,10128,EAST   96 STREET,1052375,111,,04,ERT,2003-11-05,I2,2003-11-04,2024-05-29
2054978,CLOSED,2003-10-06,3044,10463,ALBANY CRESCENT,2016127,208,,37,BRONX,2003-10-09,A9,2003-10-08,2024-05-29
1112958,CLOSED,2003-09-30,365,10019,WEST   50 STREET,1025173,104,,05,MAN.,2003-10-06,I2,2003-10-02,2024-05-29
1246612,CLOSED,2009-01-15,574,10030,ST NICHOLAS AVENUE,1060906,110,,04,ERT,2009-01-20,I2,2009-01-18,2024-05-29
1246613,CLOSED,2009-01-15,91,10030,EDGECOMBE AVENUE,1060906,110,,73,MAN.,2009-03-06,I2,2009-03-04,2024-05-29
2101850,CLOSED,2007-07-19,940,10451,GRANDCONCOURSE,2002814,204,,23,BRONX,2007-07-19,I2,2007-07-19,2024-05-29
2101851,CLOSED,2007-07-19,940,10451,GRAND CONCOURSE,2002814,204,,91,BRONX,2007-07-19,I2,2007-07-19,2024-05-29
2101852,CLOSED,2007-07-19,940,10451,GRAND CONCOURSE,2002814,204,,10,BRONX,2007-07-19,I2,2007-07-19,2024-05-29
2055010,CLOSED,2003-10-07,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2004-02-27,A1,2004-02-25,2024-05-29
2052835,CLOSED,2003-07-07,2314,10467,HOLLAND AVENUE,2050059,211,,63,ELEVR,2003-10-07,H1,2003-09-24,2024-05-29
2074411,CLOSED,2005-08-16,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2005-10-27,I1,2005-10-27,2024-05-29
2074412,CLOSED,2005-08-16,1248,10452,GRAND VIEW PLACE,2002849,204,,74,BRONX,2005-10-24,H1,2005-08-25,2024-05-29
2074414,CLOSED,2005-08-16,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2005-10-27,I1,2005-10-27,2024-05-29
2074416,CLOSED,2005-08-16,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2005-10-27,I1,2005-10-27,2024-05-29
2074418,CLOSED,2005-08-16,1000,10451,GRAND CONCOURSE,2002822,204,,63,ELEVR,2005-10-27,I1,2005-10-27,2024-05-29
4386819,CLOSED,2009-01-16,81-06,11372,34 AVENUE,4029194,403,,83,QNS.,2009-01-26,A1,2009-01-20,2024-05-29
2127785,CLOSED,2009-03-18,1120,10460,WYATT STREET,2028350,206,,45,BRONX,2009-05-05,C2,2009-05-04,2024-05-29
2094586,CLOSED,2007-02-05,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2007-02-23,I2,2007-02-21,2024-05-29
1113439,CLOSED,2003-10-10,19,10021,EAST   76 STREET,1041795,108,,31,MAN.,2003-11-03,H1,2003-10-31,2024-05-29
1113449,CLOSED,2003-10-10,92,10014,CHRISTOPHER STREET,1010043,102,,86,MAN.,2003-10-10,I2,2003-10-10,2024-05-29
1197428,CLOSED,2007-06-28,235,10128,EAST   96 STREET,1052375,111,,63,ELEVR,2007-07-25,A1,2007-07-23,2024-05-29
1251955,CLOSED,2009-03-24,45,10014,GROVE STREET,1083532,102,,37,MAN.,2009-03-25,I2,2009-03-24,2024-05-29
1148849,CLOSED,2005-08-20,105,10030,EDGECOMBE AVENUE,1060908,110,,63,ELEVR,2005-09-19,H1,2005-09-13,2024-05-29
1181215,CLOSED,2006-12-04,54,10012,PRINCE STREET,1007524,102,,12,BEST,2006-12-21,L2,2006-12-19,2024-05-29
2074641,CLOSED,2005-08-22,1505,10452,GRAND CONCOURSE,2008010,204,,63,ELEVR,2005-09-14,I2,2005-09-07,2024-05-29
2055215,CLOSED,2003-10-15,1505,10452,GRAND CONCOURSE,2008010,204,,63,ELEVR,2004-02-24,J2,2003-10-24,2024-05-29
2074684,CLOSED,2005-08-22,1184,10452,CROMWELL AVENUE,2003025,204,,63,ELEVR,2005-09-14,H1,2005-09-08,2024-05-29
2074696,CLOSED,2005-08-23,2720,10458,GRAND CONCOURSE,2017135,207,,23,BRONX,2005-08-30,H1,2005-08-29,2024-05-29
1197457,CLOSED,2007-06-28,640,10031,WEST  153 STREET,1062472,109,,30,MAN.,2007-06-29,C2,2007-06-29,2024-05-29
3167272,CLOSED,2005-08-23,95,11226,LINDEN BOULEVARD,3116662,317,,63,ELEVR,2005-09-30,I2,2005-09-28,2024-05-29
1186208,CLOSED,2007-02-14,574,10030,ST NICHOLAS AVENUE,1060906,110,,37,MAN.,2007-02-14,A1,2007-01-04,2024-05-29
2128646,CLOSED,2009-04-07,1779,10460,SOUTHERN BOULEVARD,2115902,203,,21,BEST,2009-04-28,L2,2009-04-28,2024-05-29
2125330,CLOSED,2009-01-22,3620,10463,OXFORD AVENUE,2124437,208,,67,C & D,2010-06-14,L2,2010-06-14,2024-05-29
1180625,CLOSED,2006-11-25,75,10002,MONROE STREET,1003269,103,,63,ELEVR,2006-12-21,C2,2006-12-18,2024-05-29
1159284,CLOSED,2006-02-01,128,10023,WEST   72 STREET,1079315,107,,30,ERT,2006-02-02,I2,2006-02-01,2024-05-29
1113990,CLOSED,2003-10-22,223,10011,WEST   23 STREET,1014148,104,,73,MAN.,2003-10-28,I2,2003-10-24,2024-05-29
3232077,CLOSED,2007-07-16,777,11213,ST MARKS AVENUE,3324476,308,,63,ELEVR,2007-08-31,A1,2007-08-28,2024-05-29
2055387,CLOSED,2003-10-24,2300,10468,LORING PLACE NORTH,2014941,207,,63,ELEVR,2004-02-24,J2,2003-10-29,2024-05-29
1114131,CLOSED,2003-10-24,105,10030,EDGECOMBE AVENUE,1060908,110,,30,ERT,2003-10-27,C2,2003-10-25,2024-05-29
2053216,CLOSED,2003-07-16,2300,10468,LORING PLACE NORTH,2014941,207,,63,ELEVR,2003-10-27,A1,2003-10-17,2024-05-29
1175560,CLOSED,2006-09-22,365,10019,WEST   50 STREET,1025173,104,,30,MAN.,2006-09-25,A9,2006-09-22,2024-05-29
3121269,CLOSED,2003-10-28,805,11213,ST MARKS AVENUE,3341622,308,,63,ELEVR,2004-02-24,J2,2003-11-14,2024-05-29
2074866,CLOSED,2005-08-27,3620,10463,OXFORD AVENUE,2124437,208,,04,ERT,2005-09-26,I2,2005-09-24,2024-05-29
1149314,CLOSED,2005-08-27,105,10030,EDGECOMBE AVENUE,1060908,110,,86,ERT,2005-08-29,I2,2005-08-27,2024-05-29
2092923,CLOSED,2006-12-17,2185,10453,GRAND CONCOURSE,2013760,205,,37,ERT,2006-12-18,I2,2006-12-17,2024-05-29
1182205,CLOSED,2006-12-17,539,10032,WEST  163 STREET,1062940,112,,23,MAN.,2006-12-21,I2,2006-12-20,2024-05-29
1182206,CLOSED,2006-12-17,539,10032,WEST  163 STREET,1062940,112,,10,MAN.,2006-12-18,I2,2006-12-18,2024-05-29
1177373,CLOSED,2006-10-15,124,10023,WEST   72 STREET,1079313,107,,63,ELEVR,2006-11-21,I2,2006-11-06,2024-05-29
3165410,CLOSED,2005-08-05,433,11217,DEAN STREET,3018397,306,,45,BKLYN,2005-08-29,C2,2005-08-26,2024-05-29
1161126,CLOSED,2006-03-05,559,10031,WEST  140 STREET,1061760,109,,59,ELCTR,2006-03-08,A1,2006-03-06,2024-05-29
2073440,CLOSED,2005-07-29,2720,10458,GRAND CONCOURSE,2017135,207,,23,BRONX,2005-08-30,I2,2005-08-29,2024-05-29
2101548,CLOSED,2007-07-13,1939,10453,GRAND CONCOURSE,2007683,205,,09,BRONX,2007-08-03,I2,2007-07-28,2024-05-29
3297259,CLOSED,2009-03-08,58,11226,LINDEN BOULEVARD,3116712,314,,58,BOILR,2009-03-24,I2,2009-03-17,2024-05-29
3295313,CLOSED,2009-02-14,67,11238,CLIFTON PLACE,3055601,302,,03,ERT,2009-02-16,I2,2009-02-14,2024-05-29
4391973,CLOSED,2009-03-05,35-21,11372,81 STREET,4029695,403,,45,QNS.,2009-04-08,A9,2009-03-30,2024-05-29
2102304,CLOSED,2007-07-30,1227,10472,WHITE PLAINS ROAD,2024877,209,,63,ELEVR,2007-08-28,K1,2007-08-28,2024-05-29
1197589,CLOSED,2007-06-29,144,10012,SULLIVAN STREET,1008075,102,,05,MAN.,2007-07-10,I2,2007-07-10,2024-05-29
1114789,CLOSED,2003-11-07,40,10021,EAST   64 STREET,1041041,108,,73,MAN.,2003-12-10,I2,2003-12-04,2024-05-29
2081331,CLOSED,2006-03-07,960,10451,GRAND CONCOURSE,2002815,204,,63,ELEVR,2006-04-07,I2,2006-03-07,2024-05-29
2055718,CLOSED,2003-11-10,150,10452,EAST  165 STREET,2002873,204,,10,BRONX,2003-11-10,A9,2003-11-10,2024-05-29
3185019,CLOSED,2006-03-13,276,11233,MARION STREET,3041227,303,,58,BOILR,2006-06-02,C2,2006-05-26,2024-05-29
2081211,CLOSED,2006-03-02,3620,10463,OXFORD AVENUE,2124437,208,,67,C & D,2006-03-08,I2,2006-03-03,2024-05-29
2055779,CLOSED,2003-11-12,2185,10462,BOLTON STREET,2049375,211,,63,ELEVR,2003-12-30,H1,2003-12-12,2024-05-29
1149759,CLOSED,2005-09-03,144,10012,SULLIVAN STREET,1008075,102,,09,MAN.,2005-09-09,I2,2005-09-08,2024-05-29
1249034,CLOSED,2009-02-16,267,10012,LAFAYETTE STREET,1007524,102,,04,ERT,2009-02-25,I2,2009-02-24,2024-05-29
2074213,CLOSED,2005-08-12,1110,10460,WYATT STREET,2028349,206,,45,BRONX,2005-09-06,A9,2005-09-02,2024-05-29
2055857,CLOSED,2003-11-16,1505,10452,GRAND CONCOURSE,2008010,204,,63,ELEVR,2004-02-24,J2,2004-01-08,2024-05-29
1115215,CLOSED,2003-11-17,223,10011,WEST   23 STREET,1014148,104,,04,CENTR,2003-11-18,F6,2003-11-18,2024-05-29
3203835,CLOSED,2006-09-23,777,11213,ST MARKS AVENUE,3324476,308,,63,ELEVR,2006-10-17,H1,2006-10-03,2024-05-29
2091228,CLOSED,2006-11-02,2720,10458,GRAND CONCOURSE,2017135,207,,63,ELEVR,2006-12-04,I2,2006-11-28,2024-05-29
3167123,CLOSED,2005-08-22,397,11203,EAST   49 STREET,3102099,317,,59,ELCTR,2005-09-27,C2,2005-09-21,2024-05-29
3122504,CLOSED,2003-11-21,190,11211,SOUTH    8 STREET,3059628,301,,05,BKLYN,2004-03-05,A1,2004-03-02,2024-05-29
