bin,violationissuedate,violationnumber,violationtype,violationremarks,violationstatus,devicenumber,devicetype,cycleenddate,borough,block,lot,housenumber,street,city,state,zip,bbl,postcode,latitude,longitude,communityboard,councildistrict,censustract2020,neighborhoodtabulationareanta2020
4029194,2023-10-23,VIO-FTC-VT-CAT1-202212-0007187,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Dismissed,4P2158,Elevator,2022-12-31,Queens,1268,1,81-06,34 AVENUE,New York,New York,,4012680001,11372,40.753644,-73.885785,403,25,283,Jackson Heights
2002814,2018-01-26,012618ACC104441,ACC1,,Active,2P635,Elevator,2016-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1047584,1994-09-01,090194LL629102173,LL6291,,Active,10000035707N0001,Boiler,1993-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2051276,2023-10-23,VIO-FTC-VT-CAT1-202012-0002357,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P640,Elevator,2020-12-31,Bronx,4427,17,2526,BRONX PARK EAST,New York,New York,,2044270017,10467,40.863773,-73.870401,211,15,33202,Allerton
3053953,2007-01-19,011907LL629111220,LL6291,,Active,30000039298Y0001,Boiler,2006-12-31,Brooklyn,1867,21,132,HERKIMER STREET,New York,New York,,3018670021,11216,40.679583,-73.948743,303,36,247,Bedford-Stuyvesant (West)
1062472,2005-01-31,013105LL629100403,LL6291,,Active,10000009530Y0001,Boiler,2004-12-31,Manhattan,2099,49,630,WEST 153 STREET,New York,New York,,1020990049,10031,40.831914,-73.947852,109,7,237,Hamilton Heights-Sugar Hill
2018349,2023-11-14,VIO-FTC-BE-EXT-201912-0001422,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Active,20000012338Y0001,Boiler,2019-12-31,Bronx,3347,10,3260,PERRY AVENUE,New York,New York,,2033470010,10467,40.876018,-73.876091,207,11,42902,Norwood
2024878,2023-10-23,VIO-FTC-VT-CAT1-202212-0007089,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P786,Elevator,2022-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
2002814,2023-10-23,VIO-FTC-VT-CAT1-202212-0004558,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P631,Elevator,2022-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1059804,2023-06-30,063023LBLVIO14593,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2020 EXTERNAL LOW PRESSURE INSPECTION,Active,10000920414Y0001,Boiler,2020-12-31,Manhattan,1988,118,514,WEST 136 STREET,New York,New York,,1019880118,10031,40.820031,-73.952851,109,7,22301,Manhattanville-West Harlem
3115582,2013-03-01,030113LBLVIO10046,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2011 INSPECTION REPORT,Active,30000013293Y0001,Boiler,2011-11-15,Brooklyn,5043,71,165,HAWTHORNE STREET,New York,New York,,3050430071,11225,40.657567,-73.954844,309,40,802,Prospect Lefferts Gardens-Wingate
3041227,2005-01-31,013105LL629120826,LL6291,,Active,30000939466Y0001,Boiler,2004-12-31,Brooklyn,1519,16,276,MARION STREET,New York,New York,,3015190016,11233,40.680894,-73.918554,303,41,379,Bedford-Stuyvesant (East)
2002815,2023-08-11,VIO-FTF-VT-CAT1-201812-0000168,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Report,Active,2P592,Elevator,2018-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
2017428,2023-10-23,VIO-FTC-VT-CAT1-202012-0004808,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P246,Elevator,2020-12-31,Bronx,3314,57,2685,GRAND CONCOURSE,New York,New York,,2033140057,10468,40.866839,-73.893802,207,14,40304,Bedford Park
1025173,2011-12-13,121311LBLVIO01616,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2010 INSPECTION REPORT,Active,10000039594Y0001,Boiler,2010-11-15,Manhattan,1041,5,365,WEST 50 STREET,New York,New York,,1010410005,10019,40.763211,-73.988272,104,3,133,Hell's Kitchen
2124437,2019-09-06,090619ACC107550,ACC1,,Active,2P11354,Elevator,2017-12-31,Bronx,5796,117,3620,OXFORD AVENUE,New York,New York,,2057960117,10463,40.886967,-73.908554,208,11,295,Riverdale-Spuyten Duyvil
2017135,2023-11-14,VIO-FTC-BE-EXT-201812-0001819,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000011263Y0001,Boiler,2018-12-31,Bronx,3304,35,2720,GRAND CONCOURSE,New York,New York,,2033040035,10458,40.867585,-73.893215,207,15,40302,Bedford Park
1060050,2023-06-30,063023LBLVIO35515,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,10000065449Y0001,Boiler,2021-12-31,Manhattan,2007,59,142,WEST 139 STREET,New York,New York,,1020070059,10030,40.817591,-73.941248,110,9,230,Harlem (North)
2002815,2023-08-11,VIO-FTF-VT-CAT1-201812-0000167,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Report,Active,2P591,Elevator,2018-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
2024878,2018-01-26,012618ACC104872,ACC1,,Active,2P786,Elevator,2016-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
2013760,2014-05-15,051514LBLVIO08304,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,20000010004Y0001,Boiler,2012-12-31,Bronx,3162,34,2181,GRAND CONCOURSE,New York,New York,,2031620034,10453,40.855337,-73.901289,205,14,23704,Fordham Heights
1062935,2017-01-03,010317ACC104277,ACC1,,Active,1P10293,Elevator,2015-12-31,Manhattan,2122,105,558,WEST 164 STREET,New York,New York,,1021220105,10032,40.838014,-73.940731,112,10,245,Washington Heights (South)
1062935,2023-10-02,VIO-FTC-VT-PER-202212-0014183,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,1P10293,Elevator,2022-12-31,Manhattan,2122,105,558,WEST 164 STREET,New York,New York,,1021220105,10032,40.838014,-73.940731,112,10,245,Washington Heights (South)
4135129,2023-04-25,042523LBLVIO23725,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2022 INSPECTION REPORT,Active,40000161671Y0003,Boiler,2022-12-31,Queens,6077,51,34-43,FRANCIS LEWIS BOULEVARD,New York,New York,,4060770051,11358,40.765568,-73.789208,411,19,1099,Auburndale
4052288,2023-10-23,VIO-FTC-VT-CAT1-202012-0003711,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Dismissed,4P2884,Elevator,2020-12-31,Queens,2220,7501,69-45,108 STREET,New York,New York,,4022207501,11375,40.723824,-73.844907,406,29,739,Forest Hills
2007683,2023-11-14,VIO-FTC-BE-EXT-201912-0002154,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Active,20000006900Y0001,Boiler,2019-12-31,Bronx,2808,12,1939,GRAND CONCOURSE,New York,New York,,2028080012,10453,40.850427,-73.905229,205,14,23501,Mount Hope
2002814,2001-03-08,030801LL108101623,LL1081,,Active,2P632,Elevator,2000-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
2002849,2023-08-11,VIO-FTF-VT-CAT1-202112-0000193,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Report,Active,2P1212,Elevator,2021-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
2028350,1998-05-04,050498LL629111081,LL6291,,Active,20000012219Y0001,Boiler,1997-12-31,Bronx,3906,10,1120,WYATT STREET,New York,New York,,2039060010,10460,40.839227,-73.877081,206,15,60,West Farms
2014941,2004-11-19,111904LL108101793,LL1081,,Active,2P535,Elevator,2004-12-31,Bronx,3225,94,2300,LORING PLACE,New York,New York,,2032250094,10468,40.861675,-73.908416,207,14,255,University Heights (North)-Fordham
1047584,2023-06-30,063023LBLVIO25179,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Active,10000035707N0001,Boiler,2021-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1025173,2001-02-27,022701LL629102997,LL6291,,Active,10000039594Y0001,Boiler,2000-12-31,Manhattan,1041,5,365,WEST 50 STREET,New York,New York,,1010410005,10019,40.763211,-73.988272,104,3,133,Hell's Kitchen
2041215,2023-10-23,VIO-FTC-VT-CAT1-202012-0000766,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P932,Elevator,2020-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
3041227,2009-01-01,010109LL629120422,LL6291,,Active,30000939466Y0001,Boiler,2008-12-31,Brooklyn,1519,16,276,MARION STREET,New York,New York,,3015190016,11233,40.680894,-73.918554,303,41,379,Bedford-Stuyvesant (East)
3063299,2023-04-25,042523LBLVIO15057,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2022 INSPECTION REPORT,Active,30000103053N0001,Boiler,2022-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
2014276,2023-11-14,VIO-FTC-BE-EXT-202012-0002888,FTC-BE-EXT-LP,Violation Issued-Failure To File 2020 External Inspection Affirmation of Correction for LP Device,Active,20000930127Y0001,Boiler,2020-12-31,Bronx,3198,76,12,WEST 184 STREET,New York,New York,,2031980076,10468,40.860729,-73.903005,207,14,239,Fordham Heights
1062935,2023-10-23,VIO-FTC-VT-CAT1-201812-0014031,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Affirmation of Correction,Active,1P10293,Elevator,2018-12-31,Manhattan,2122,105,558,WEST 164 STREET,New York,New York,,1021220105,10032,40.838014,-73.940731,112,10,245,Washington Heights (South)
1004255,2001-02-27,022701LL629100538,LL6291,,Dismissed,10000913006Y0001,Boiler,2000-12-31,Manhattan,350,35,158,STANTON STREET,New York,New York,,1003500035,10002,40.720408,-73.985021,103,2,3001,Lower East Side
2002815,2023-10-23,VIO-FTC-VT-CAT1-202112-0007793,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P591,Elevator,2021-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
2017807,2018-01-26,012618ACC104819,ACC1,,Active,2P613,Elevator,2016-12-31,Bronx,3328,90,3556,ROCHAMBEAU AVENUE,New York,New York,,2033280090,10467,40.882762,-73.878913,207,11,43101,Norwood
4050658,2023-10-23,VIO-FTC-VT-CAT1-201912-0005507,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Dismissed,4P1635,Elevator,2019-12-31,Queens,2112,30,99-41,64 AVENUE,New York,New York,,4021120030,11374,40.731453,-73.85462,406,29,721,Forest Hills
2002822,2023-10-23,VIO-FTC-VT-CAT1-202112-0008824,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P1638,Elevator,2021-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
2083557,2023-10-23,VIO-FTC-VT-CAT1-202112-0003016,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P1258,Elevator,2021-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
2017428,2023-10-23,VIO-FTC-VT-CAT1-202212-0009281,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P246,Elevator,2022-12-31,Bronx,3314,57,2685,GRAND CONCOURSE,New York,New York,,2033140057,10468,40.866839,-73.893802,207,14,40304,Bedford Park
2007683,2021-12-17,121721EVCAT500516,EVCAT5,,Active,2P1902,Elevator,2018-10-31,Bronx,2808,12,1939,GRAND CONCOURSE,New York,New York,,2028080012,10453,40.850427,-73.905229,205,14,23501,Mount Hope
1041795,2015-03-03,030315LBLVIO01451,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2013 INSPECTION REPORT,Active,10000049074Y0001,Boiler,2013-12-31,Manhattan,1391,13,19,EAST 76 STREET,New York,New York,,1013910013,10021,40.774585,-73.964043,108,4,130,Upper East Side-Carnegie Hill
2049375,2002-03-26,032602LL629112394,LL6291,,Active,20000011978Y0001,Boiler,2001-12-31,Bronx,4317,40,2185,BOLTON STREET,New York,New York,,2043170040,10462,40.8559,-73.868667,211,13,22401,Pelham Parkway-Van Nest
2017428,2018-01-26,012618ACC104796,ACC1,,Active,2P246,Elevator,2016-12-31,Bronx,3314,57,2685,GRAND CONCOURSE,New York,New York,,2033140057,10468,40.866839,-73.893802,207,14,40304,Bedford Park
1047585,2002-03-26,032602LL629104663,LL6291,,Active,10000007757Y0001,Boiler,2001-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
2028349,2023-10-23,VIO-FTC-VT-CAT1-202212-0014778,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P1527,Elevator,2022-12-31,Bronx,3906,1,1110,WYATT STREET,New York,New York,,2039060001,10460,40.839306,-73.877301,206,15,60,West Farms
1020543,2023-08-11,VIO-FTF-VT-CAT1-201812-0004401,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2018 Cat1 Test Report,Dismissed,1V23930,Elevator,2018-12-31,Manhattan,927,1,301,EAST   21 STREET,New York,New York,,1009270001,10010,40.736437,-73.981427,106,2,64,Gramercy
1004255,1993-03-18,031893LL629115698,LL6291,,Dismissed,10000913006Y0001,Boiler,1992-12-31,Manhattan,350,35,158,STANTON STREET,New York,New York,,1003500035,10002,40.720408,-73.985021,103,2,3001,Lower East Side
1064964,2023-11-14,VIO-FTC-BE-EXT-201912-0001923,FTC-BE-EXT-LP,Violation Issued-Failure To File 2019 External Inspection Affirmation of Correction for LP Device,Dismissed,10000166116Y0001,Boiler,2019-12-31,Manhattan,2239,17,97,SEAMAN AVENUE,New York,New York,,1022390017,10034,40.868268,-73.924554,112,10,295,Inwood
3039777,2023-11-14,VIO-FTC-BE-EXT-202212-0002154,FTC-BE-EXT-LP,Violation Issued-Failure To File 2022 External Inspection Affirmation of Correction for LP Device,Active,30000078215N0001,Boiler,2022-12-31,Brooklyn,1485,47,937,JEFFERSON AVENUE,New York,New York,,3014850047,11221,40.686586,-73.921366,303,41,375,Bedford-Stuyvesant (East)
2028349,2017-01-03,010317ACC105051,ACC1,,Active,2P1527,Elevator,2015-12-31,Bronx,3906,1,1110,WYATT STREET,New York,New York,,2039060001,10460,40.839306,-73.877301,206,15,60,West Farms
2024878,2023-10-02,VIO-FTC-VT-PER-202212-0003611,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P785,Elevator,2022-12-31,Bronx,3767,82,1215,WHITE PLAINS ROAD,New York,New York,,2037670082,10472,40.831107,-73.861901,209,18,72,Castle Hill-Unionport
1085192,1995-08-29,082995LL629100337,LL6291,,Active,10000004640Y0002,Boiler,1994-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
1079313,2005-10-01,100105LL108101265,LL1081,,Dismissed,1P10608,Elevator,2005-12-31,Manhattan,1143,42,124,WEST   72 STREET,New York,New York,,1011430042,10023,40.777891,-73.979954,107,6,157,Upper West Side-Lincoln Square
2018349,2023-11-14,VIO-FTC-BE-EXT-202012-0001465,FTC-BE-EXT-LP,Violation Issued-Failure To File 2020 External Inspection Affirmation of Correction for LP Device,Active,20000012338Y0001,Boiler,2020-12-31,Bronx,3347,10,3260,PERRY AVENUE,New York,New York,,2033470010,10467,40.876018,-73.876091,207,11,42902,Norwood
1052375,2023-08-11,VIO-FTF-VT-CAT1-202112-0005658,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Report,Active,1P35356,Elevator,2021-12-31,Manhattan,1646,7501,1865,2 AVENUE,New York,New York,,1016467501,10029,40.784355,-73.947023,111,8,15602,East Harlem (South)
2002814,2004-11-19,111904LL108101595,LL1081,,Active,2P635,Elevator,2004-12-31,Bronx,2461,45,940,GRAND CONCOURSE,New York,New York,,2024610045,10451,40.828783,-73.921617,204,16,18301,Concourse-Concourse Village
1003556,2005-01-31,013105LL629106276,LL6291,,Active,10000910291Y0001,Boiler,2004-12-31,Manhattan,283,6,119,HENRY STREET,New York,New York,,1002830006,10002,40.713276,-73.991476,103,1,6,Chinatown-Two Bridges
2002822,2002-02-19,021902LL108101863,LL1081,,Active,2P1637,Elevator,2001-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
2007907,2023-10-23,VIO-FTC-VT-CAT1-202112-0002310,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2021 Cat1 Test Affirmation of Correction,Active,2P1752,Elevator,2021-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
1047585,2000-02-07,020700LL629104675,LL6291,,Active,10000007757Y0001,Boiler,1999-12-31,Manhattan,1510,53,1201,LEXINGTON AVENUE,New York,New York,,1015100053,10028,40.776559,-73.957716,108,4,140,Upper East Side-Carnegie Hill
2017135,2023-10-23,VIO-FTC-VT-CAT1-202012-0000712,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Affirmation of Correction,Active,2P1142,Elevator,2020-12-31,Bronx,3304,35,2720,GRAND CONCOURSE,New York,New York,,2033040035,10458,40.867585,-73.893215,207,15,40302,Bedford Park
2041215,2018-01-26,012618ACC104910,ACC1,,Active,2P904,Elevator,2016-12-31,Bronx,3947,1,2131,STARLING AVENUE,New York,New York,,2039470001,10462,40.836175,-73.854048,209,18,222,Parkchester
3063299,2023-06-20,062023LBLVIO07741,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2018 EXTERNAL LOW PRESSURE INSPECTION,Active,30000103053N0001,Boiler,2018-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
1041795,2018-04-06,040618LBLVIO01660,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2016 INSPECTION REPORT,Active,10000049074Y0001,Boiler,2016-12-31,Manhattan,1391,13,19,EAST 76 STREET,New York,New York,,1013910013,10021,40.774585,-73.964043,108,4,130,Upper East Side-Carnegie Hill
3096699,2004-02-13,021304LL629113718,LL6291,,Active,30000060573Y0001,Boiler,2003-12-31,Brooklyn,4303,12,696,MILLER AVENUE,New York,New York,,3043030012,11207,40.663122,-73.88864,305,42,1122,East New York-New Lots
2002822,2004-11-19,111904LL108101597,LL1081,,Active,2P1637,Elevator,2004-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
1003269,2023-10-23,VIO-FTC-VT-CAT1-202212-0002670,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,1P26369,Elevator,2022-12-31,Manhattan,274,14,75,MONROE STREET,New York,New York,,1002740014,10002,40.711749,-73.992602,103,1,8,Chinatown-Two Bridges
2002849,2004-04-21,042104LL108101800,LL1081,,Active,2P1213,Elevator,2003-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
3026545,2023-06-20,062023LBLVIO21390,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2018 EXTERNAL LOW PRESSURE INSPECTION,Active,30000032394Y0001,Boiler,2018-12-31,Brooklyn,1101,42,182,PROSPECT PARK WEST,New York,New York,,3011010042,11215,40.661974,-73.979055,306,39,167,Park Slope
1020543,2023-08-11,VIO-FTF-VT-CAT1-202012-0003984,FTF-VT-CAT1-CO,Violation Issued-Failure To File 2020 Cat1 Test Report,Dismissed,1V23930,Elevator,2020-12-31,Manhattan,927,1,301,EAST   21 STREET,New York,New York,,1009270001,10010,40.736437,-73.981427,106,2,64,Gramercy
2007907,2019-09-06,090619ACC102757,ACC1,,Active,2P1752,Elevator,2017-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
3041035,2023-06-20,062023LBLVIO29558,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2019 EXTERNAL LOW PRESSURE INSPECTION,Dismissed,30000034145Y0001,Boiler,2019-12-31,Brooklyn,1514,7,332,CHAUNCEY STREET,New York,New York,,3015140007,11233,40.681586,-73.919068,303,41,379,Bedford-Stuyvesant (East)
1025173,2000-02-07,020700LL629103039,LL6291,,Active,10000039594Y0001,Boiler,1999-12-31,Manhattan,1041,5,365,WEST 50 STREET,New York,New York,,1010410005,10019,40.763211,-73.988272,104,3,133,Hell's Kitchen
1085192,2002-03-26,032602LL629104367,LL6291,,Active,10000004640Y0001,Boiler,2001-12-31,Manhattan,1429,31,238,EAST   75 STREET,New York,New York,,1014290031,10021,40.771292,-73.958243,108,5,134,Upper East Side-Lenox Hill-Roosevelt Island
2007907,2014-05-15,051514LBLVIO08171,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,20000006727Y0001,Boiler,2012-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
1030892,2001-02-27,022701LL629103521,LL6291,,Active,10000016044Y0001,Boiler,2000-12-31,Manhattan,1169,40,214,WEST 78 STREET,New York,New York,,1011690040,10024,40.782702,-73.979403,107,6,163,Upper West Side (Central)
1047584,2008-01-03,010308LL629101336,LL6291,,Active,10000035707N0001,Boiler,2007-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1056493,2019-09-06,090619ACC103218,ACC1,,Active,1P9256,Elevator,2017-12-31,Manhattan,1872,61,832,WEST END AVENUE,New York,New York,,1018720061,10025,40.798239,-73.971019,107,7,187,Upper West Side-Manhattan Valley
2083557,2023-10-02,VIO-FTC-VT-PER-202212-0004357,FTC-VT-PER-CO,Violation Issued-Failure To File 2022 Periodic Inspection Affirmation of Correction,Active,2P1258,Elevator,2022-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
1060906,1998-05-04,050498LL629101867,LL6291,,Dismissed,10000031438Y0001,Boiler,1997-12-31,Manhattan,2048,16,91,EDGECOMBE AVENUE,New York,New York,,1020480016,10030,40.819474,-73.946193,110,9,22102,Harlem (North)
1060906,1993-03-18,031893LL629103125,LL6291,,Dismissed,10000031438Y0001,Boiler,1992-12-31,Manhattan,2048,16,91,EDGECOMBE AVENUE,New York,New York,,1020480016,10030,40.819474,-73.946193,110,9,22102,Harlem (North)
2017428,2019-09-06,090619ACC103946,ACC1,,Active,2P246,Elevator,2017-12-31,Bronx,3314,57,2685,GRAND CONCOURSE,New York,New York,,2033140057,10468,40.866839,-73.893802,207,14,40304,Bedford Park
1063766,2023-11-14,VIO-FTC-BE-EXT-202012-0001078,FTC-BE-EXT-LP,Violation Issued-Failure To File 2020 External Inspection Affirmation of Correction for LP Device,Active,10000065703Y0001,Boiler,2020-12-31,Manhattan,2157,15,552,WEST 185 STREET,New York,New York,,1021570015,10033,40.851277,-73.931018,112,10,269,Washington Heights (North)
2014942,2023-11-14,VIO-FTC-BE-EXT-201812-0001707,FTC-BE-EXT-LP,Violation Issued-Failure To File 2018 External Inspection Affirmation of Correction for LP Device,Active,20000016777Y0001,Boiler,2018-12-31,Bronx,3225,98,2312,LORING PLACE,New York,New York,,2032250098,10468,40.861916,-73.908231,207,14,255,University Heights (North)-Fordham
3063299,1998-05-04,050498LL629123734,LL6291,,Active,30000103053N0001,Boiler,1997-12-31,Brooklyn,2433,15,224,SOUTH    3 STREET,New York,New York,,3024330015,11211,40.711136,-73.958775,301,34,523,Williamsburg
1010042,2023-06-30,063023LBLVIO14906,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2020 EXTERNAL LOW PRESSURE INSPECTION,Dismissed,10000076905Y0001,Boiler,2020-12-31,Manhattan,588,59,94,CHRISTOPHER STREET,New York,New York,,1005880059,10014,40.733337,-74.004579,102,3,73,West Village
2007907,2006-01-06,010606LL629106618,LL6291,,Active,20000006727Y0001,Boiler,2005-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
2002849,2002-02-19,021902LL108101865,LL1081,,Active,2P1212,Elevator,2001-12-31,Bronx,2464,23,1235,GRAND CONCOURSE,New York,New York,,2024640023,10452,40.835466,-73.916785,204,16,197,Concourse-Concourse Village
2017622,1994-05-31,053194LL108101796,LL1081,,Active,2P533,Elevator,1993-12-31,Bronx,3320,60,2922,GRAND CONCOURSE,New York,New York,,2033200060,10458,40.871519,-73.888627,207,14,40702,Bedford Park
1047584,2023-06-30,063023HBLVIO03605,HBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 INTERNAL HGH PRESSURE INSPECTION,Active,10000053198N0001,Boiler,2021-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
2002815,2023-10-23,VIO-FTC-VT-CAT1-202212-0017395,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2022 Cat1 Test Affirmation of Correction,Active,2P591,Elevator,2022-12-31,Bronx,2461,58,960,GRAND CONCOURSE,New York,New York,,2024610058,10451,40.829305,-73.921346,204,16,18301,Concourse-Concourse Village
